N,No-Cache Avg Time,Cache-Friendly Avg Time
32,3.0,3.0
64,43.0,48.333333333333336
96,61.0,67.0
128,150.66666666666666,160.0
160,211.66666666666666,217.33333333333334
192,236.33333333333334,225.0
224,563.0,551.6666666666666
256,810.0,661.6666666666666
288,1316.6666666666667,1148.0
320,399.0,358.6666666666667
352,1476.6666666666667,1281.3333333333333
384,1956.6666666666667,1439.3333333333333
416,2574.0,1774.6666666666667
448,2419.6666666666665,1925.3333333333333
480,2397.0,2024.0
512,5638.333333333333,2891.0
544,3415.3333333333335,3038.0
576,4307.333333333333,3116.0
608,5807.333333333333,4501.333333333333
640,9393.0,5932.0
672,6076.0,5056.333333333333
704,7023.333333333333,4424.333333333333
736,5963.0,4797.666666666667
768,7772.666666666667,4696.666666666667
800,7253.0,5555.666666666667
832,11623.0,7305.333333333333
864,9588.333333333334,6305.0
896,11906.333333333334,7440.333333333333
928,9975.0,7601.666666666667
960,11577.666666666666,7459.666666666667
992,16343.0,9531.333333333334
1024,14986.0,8302.0
1056,13009.666666666666,9194.666666666666
1088,17172.333333333332,10560.0
1120,14781.333333333334,10688.333333333334
1152,17337.333333333332,9602.333333333334
1184,18400.333333333332,11666.333333333334
1216,24759.666666666668,13520.666666666666
1248,17143.333333333332,12921.333333333334
1280,26211.666666666668,10912.0
1312,13302.333333333334,8833.666666666666
1344,23173.0,11416.666666666666
1376,28338.0,14594.0
1408,15648.0,8179.333333333333
1440,31586.666666666668,20315.0
1472,27188.0,15033.666666666666
1504,25271.333333333332,15702.666666666666
1536,44089.666666666664,21453.333333333332
1568,30984.0,17018.333333333332
1600,33697.666666666664,16649.0
1632,32155.0,18600.333333333332
1664,43969.0,19314.666666666668
1696,33330.333333333336,18741.333333333332
1728,42250.666666666664,19847.0
1760,44879.666666666664,25198.333333333332
1792,59990.666666666664,21390.333333333332
1824,46182.333333333336,23928.333333333332
1856,54519.333333333336,25854.666666666668
1888,53669.666666666664,23459.666666666668
1920,51806.0,24428.0
1952,58499.666666666664,25874.666666666668
1984,40739.666666666664,20069.333333333332
2016,40527.333333333336,18457.333333333332
2048,69355.0,14795.666666666666
