N,No-Cache Avg Time,Cache-Friendly Avg Time
2,0.0,0.0
4,0.0,0.0
6,0.6666666666666666,0.0
8,1.6666666666666667,0.3333333333333333
10,1.6666666666666667,1.0
12,7.333333333333333,5.333333333333333
14,13.0,7.666666666666667
16,3.3333333333333335,3.3333333333333335
18,18.333333333333332,13.333333333333334
20,11.0,8.0
22,13.666666666666666,12.0
24,18.0,14.333333333333334
26,16.333333333333332,14.0
28,19.0,16.666666666666668
30,66.33333333333333,54.666666666666664
32,28.0,24.0
34,81.66666666666667,63.0
36,41.0,25.333333333333332
38,43.0,31.333333333333332
40,49.666666666666664,41.0
42,50.0,36.666666666666664
44,51.333333333333336,41.0
46,69.33333333333333,46.666666666666664
48,68.0,48.0
50,70.66666666666667,56.333333333333336
52,85.0,63.0
54,90.33333333333333,64.66666666666667
56,105.0,74.33333333333333
58,99.33333333333333,81.0
60,114.66666666666667,94.33333333333333
62,116.0,96.66666666666667
64,139.33333333333334,99.33333333333333
66,151.66666666666666,108.33333333333333
68,167.66666666666666,125.66666666666667
70,153.33333333333334,158.33333333333334
72,171.66666666666666,126.33333333333333
74,178.66666666666666,137.33333333333334
76,231.0,159.33333333333334
78,195.0,156.66666666666666
80,210.0,162.66666666666666
82,250.33333333333334,177.0
84,240.33333333333334,180.66666666666666
86,255.66666666666666,191.0
88,258.3333333333333,203.66666666666666
90,273.3333333333333,218.0
92,362.3333333333333,257.3333333333333
94,302.6666666666667,237.33333333333334
96,315.0,257.6666666666667
98,357.0,270.6666666666667
100,352.0,278.0
102,528.3333333333334,393.6666666666667
104,371.3333333333333,316.0
106,459.6666666666667,323.3333333333333
108,458.6666666666667,394.0
110,502.0,357.6666666666667
112,493.6666666666667,389.3333333333333
114,477.6666666666667,401.0
116,516.0,409.3333333333333
118,638.0,447.6666666666667
120,643.3333333333334,470.0
122,598.6666666666666,506.3333333333333
124,662.6666666666666,550.3333333333334
126,661.0,501.0
128,672.3333333333334,527.6666666666666
