N,No-Cache Avg Time,Cache-Friendly Avg Time
32,8.0,10.0
64,31.0,26.666666666666668
96,21.0,26.666666666666668
128,106.0,118.0
160,173.66666666666666,211.0
192,268.6666666666667,300.3333333333333
224,198.33333333333334,249.0
256,609.6666666666666,492.3333333333333
288,679.6666666666666,679.3333333333334
320,868.6666666666666,905.0
352,1134.6666666666667,1086.6666666666667
384,1592.0,1182.3333333333333
416,1609.6666666666667,1515.3333333333333
448,1854.3333333333333,1629.3333333333333
480,1038.0,1175.0
512,2853.6666666666665,1899.0
544,1052.3333333333333,951.3333333333334
576,3331.3333333333335,3295.0
608,3875.0,3193.3333333333335
640,3512.0,2806.6666666666665
672,4511.0,4591.333333333333
704,5287.333333333333,4404.333333333333
736,4862.333333333333,3994.6666666666665
768,7203.333333333333,4852.333333333333
800,4788.666666666667,3797.6666666666665
832,8409.333333333334,5976.333333333333
864,9185.666666666666,7062.333333333333
896,9550.0,5835.0
928,7598.666666666667,5832.666666666667
960,10036.333333333334,6759.333333333333
992,9249.333333333334,7321.0
1024,13229.333333333334,8235.666666666666
1056,9471.666666666666,7495.666666666667
1088,12884.0,8165.0
1120,11327.333333333334,8367.0
1152,7252.333333333333,5235.333333333333
1184,6380.333333333333,4455.333333333333
1216,15896.666666666666,9843.666666666666
1248,15422.333333333334,10111.333333333334
1280,15535.333333333334,9031.666666666666
1312,19679.666666666668,13353.333333333334
1344,21570.333333333332,13488.0
1376,21145.0,10568.333333333334
1408,21312.333333333332,12096.0
1440,15828.666666666666,10521.333333333334
1472,21975.666666666668,12247.666666666666
1504,21186.0,11786.666666666666
1536,25037.666666666668,12898.0
1568,22291.333333333332,12282.0
1600,23371.0,12159.0
1632,24110.333333333332,13229.333333333334
1664,24360.0,12798.333333333334
1696,21169.0,11492.666666666666
1728,27908.0,13521.0
1760,39834.0,21256.333333333332
1792,39826.666666666664,18204.333333333332
1824,27764.666666666668,13600.0
1856,46559.666666666664,20842.666666666668
1888,38051.333333333336,17712.333333333332
1920,34114.666666666664,15840.666666666666
1952,31956.0,15750.0
1984,25987.0,12095.666666666666
2016,58012.666666666664,17609.333333333332
2048,67809.66666666667,11945.0
