N,normal,unroll_2,unroll_4,unroll_8,unroll_16,unroll_32,recursion
10,9.0,4.0,3.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,13.333333333333334
11,18.0,8.0,5.0,5.0,4.666666666666667,5.0,24.0
12,36.0,21.666666666666668,13.0,10.0,16.666666666666668,9.333333333333334,51.666666666666664
13,47.0,21.333333333333332,14.333333333333334,12.666666666666666,12.0,12.0,62.666666666666664
14,144.33333333333334,69.66666666666667,53.666666666666664,48.666666666666664,48.0,48.0,223.33333333333334
15,103.0,53.666666666666664,39.333333333333336,35.333333333333336,34.333333333333336,34.0,161.33333333333334
16,581.6666666666666,270.0,181.33333333333334,161.33333333333334,168.0,151.33333333333334,806.0
17,425.6666666666667,201.66666666666666,134.66666666666666,124.33333333333333,125.0,115.66666666666667,615.6666666666666
18,2406.6666666666665,1089.6666666666667,742.0,635.3333333333334,613.6666666666666,611.6666666666666,3276.0
19,4743.666666666667,2441.6666666666665,1946.6666666666667,1776.3333333333333,1522.3333333333333,1231.0,6632.333333333333
20,8452.666666666666,4030.6666666666665,2686.3333333333335,2416.6666666666665,2281.3333333333335,2326.0,11343.333333333334
21,14095.333333333334,6443.0,4411.666666666667,3972.3333333333335,4192.333333333333,3487.3333333333335,20058.0
22,25261.0,12646.333333333334,8608.333333333334,7508.0,5654.0,4763.0,23613.666666666668
23,27387.333333333332,13239.666666666666,9531.0,8046.333333333333,8378.333333333334,7890.666666666667,46035.0
24,73562.66666666667,27423.666666666668,18379.333333333332,16141.333333333334,15947.333333333334,15566.333333333334,90376.0
25,109691.33333333333,52542.0,36740.333333333336,32231.333333333332,31745.0,30783.0,183447.33333333334
26,219258.0,104218.33333333333,74109.66666666667,65021.666666666664,63183.0,61720.333333333336,363867.0
27,438757.6666666667,209247.33333333334,147860.33333333334,129210.33333333333,126140.33333333333,123225.66666666667,734713.6666666666
28,892168.0,446217.3333333333,295784.6666666667,266787.3333333333,257487.0,248979.66666666666,1464973.3333333333
